Sujet,Type Douleur,Type Frame,Nb Images
S001,Algometer Pain,BW frames,20
S001,Algometer Pain,BW oval frames,20
S001,Algometer Pain,Colour frames,20
S001,Algometer Pain,Colour oval frames,20
S001,Laser Pain,BW frames,20
S001,Laser Pain,BW oval frames,20
S001,Laser Pain,Colour frames,20
S001,Laser Pain,Colour oval frames,20
S001,Neutral,BW frames,20
S001,Neutral,BW oval frames,20
S001,Neutral,Colour frames,20
S001,Neutral,Colour oval frames,20
S001,Posed Pain,BW frames,20
S001,Posed Pain,BW oval frames,20
S001,Posed Pain,Colour frames,20
S001,Posed Pain,Colour oval frames,20
S002,Algometer Pain,BW frames,20
S002,Algometer Pain,BW oval frames,20
S002,Algometer Pain,Colour frames,20
S002,Algometer Pain,Colour oval frames,20
S002,Laser Pain,BW frames,20
S002,Laser Pain,BW oval frames,20
S002,Laser Pain,Colour frames,20
S002,Laser Pain,Colour oval frames,20
S002,Neutral,BW frames,20
S002,Neutral,BW oval frames,20
S002,Neutral,Colour frames,20
S002,Neutral,Colour oval frames,20
S002,Posed Pain,BW frames,20
S002,Posed Pain,BW oval frames,20
S002,Posed Pain,Colour frames,20
S002,Posed Pain,Colour oval frames,20
S003,Algometer Pain,BW frames,20
S003,Algometer Pain,BW oval frames,20
S003,Algometer Pain,Colour frames,20
S003,Algometer Pain,Colour oval frames,20
S003,Laser Pain,BW frames,20
S003,Laser Pain,BW oval frames,20
S003,Laser Pain,Colour frames,20
S003,Laser Pain,Colour oval frames,20
S003,Neutral,BW frames,20
S003,Neutral,BW oval frames,20
S003,Neutral,Colour frames,20
S003,Neutral,Colour oval frames,20
S003,Posed Pain,BW frames,20
S003,Posed Pain,BW oval frames,20
S003,Posed Pain,Colour frames,20
S003,Posed Pain,Colour oval frames,20
S004,Algometer Pain,BW frames,20
S004,Algometer Pain,BW oval frames,20
S004,Algometer Pain,Colour frames,20
S004,Algometer Pain,Colour oval frames,20
S004,Laser Pain,BW frames,20
S004,Laser Pain,BW oval frames,20
S004,Laser Pain,Colour frames,20
S004,Laser Pain,Colour oval frames,20
S004,Neutral,BW frames,20
S004,Neutral,BW oval frames,20
S004,Neutral,Colour frames,20
S004,Neutral,Colour oval frames,20
S004,Posed Pain,BW frames,20
S004,Posed Pain,BW oval frames,20
S004,Posed Pain,Colour frames,20
S004,Posed Pain,Colour oval frames,20
S005,Algometer Pain,BW frames,20
S005,Algometer Pain,BW oval frames,20
S005,Algometer Pain,Colour frames,20
S005,Algometer Pain,Colour oval frames,20
S005,Laser Pain,BW frames,20
S005,Laser Pain,BW oval frames,20
S005,Laser Pain,Colour frames,20
S005,Laser Pain,Colour oval frames,20
S005,Neutral,BW frames,20
S005,Neutral,BW oval frames,20
S005,Neutral,Colour frames,20
S005,Neutral,Colour oval frames,20
S005,Posed Pain,BW frames,20
S005,Posed Pain,BW oval frames,20
S005,Posed Pain,Colour frames,20
S005,Posed Pain,Colour oval frames,20
S006,Algometer Pain,BW frames,20
S006,Algometer Pain,BW oval frames,20
S006,Algometer Pain,Colour frames,20
S006,Algometer Pain,Colour oval frames,20
S006,Laser Pain,BW frames,20
S006,Laser Pain,BW oval frames,20
S006,Laser Pain,Colour frames,20
S006,Laser Pain,Colour oval frames,20
S006,Neutral,BW frames,20
S006,Neutral,BW oval frames,20
S006,Neutral,Colour frames,20
S006,Neutral,Colour oval frames,20
S006,Posed Pain,BW frames,20
S006,Posed Pain,BW oval frames,20
S006,Posed Pain,Colour frames,20
S006,Posed Pain,Colour oval frames,20
S007,Algometer Pain,BW frames,20
S007,Algometer Pain,BW oval frames,20
S007,Algometer Pain,Colour frames,20
S007,Algometer Pain,Colour oval frames,20
S007,Neutral,BW frames,20
S007,Neutral,BW oval frames,20
S007,Neutral,Colour frames,20
S007,Neutral,Colour oval frames,20
S007,Posed Pain,BW frames,20
S007,Posed Pain,BW oval frames,20
S007,Posed Pain,Colour frames,20
S007,Posed Pain,Colour oval frames,20
S008,Algometer Pain,BW frames,20
S008,Algometer Pain,BW oval frames,20
S008,Algometer Pain,Colour frames,20
S008,Algometer Pain,Colour oval frames,20
S008,Laser Pain,BW frames,20
S008,Laser Pain,BW oval frames,20
S008,Laser Pain,Colour frames,20
S008,Laser Pain,Colour oval frames,20
S008,Neutral,BW frames,20
S008,Neutral,BW oval frames,20
S008,Neutral,Colour frames,20
S008,Neutral,Colour oval frames,20
S008,Posed Pain,BW frames,20
S008,Posed Pain,BW oval frames,20
S008,Posed Pain,Colour frames,20
S008,Posed Pain,Colour oval frames,20
S009,Algometer Pain,BW frames,20
S009,Algometer Pain,BW oval frames,20
S009,Algometer Pain,Colour frames,20
S009,Algometer Pain,Colour oval frames,20
S009,Laser Pain,BW frames,20
S009,Laser Pain,BW oval frames,20
S009,Laser Pain,Colour frames,20
S009,Laser Pain,Colour oval frames,20
S009,Neutral,BW frames,20
S009,Neutral,BW oval frames,20
S009,Neutral,Colour frames,20
S009,Neutral,Colour oval frames,20
S009,Posed Pain,BW frames,20
S009,Posed Pain,BW oval frames,20
S009,Posed Pain,Colour frames,20
S009,Posed Pain,Colour oval frames,20
S010,Algometer Pain,BW frames,20
S010,Algometer Pain,BW oval frames,20
S010,Algometer Pain,Colour frames,20
S010,Algometer Pain,Colour oval frames,20
S010,Laser Pain,BW frames,20
S010,Laser Pain,BW oval frames,20
S010,Laser Pain,Colour frames,20
